phase_connected,final_sigma_P_ns,final_sigma_Pdot_1e-15,total_telescope_time_s,num_epochs,population_type
True,0.24986488269509835,0.05005842481638337,240.0,4,young
True,9.676808159019127e-06,2.1834452289840984e-05,240.0,4,young
True,0.028751969291666398,0.013292215911549086,300.0,5,young
True,0.07932928626556253,0.025558997420434857,240.0,4,young
True,5.599976522135986e-07,1.1978371164634697e-06,240.0,4,young
False,1.2938539187131968,1.1053231030071706,240.0,4,young
True,0.058743689878066385,0.0031477537002306847,300.0,5,young
True,0.026249365184524885,0.005338324655284394,300.0,5,young
True,0.23456724801096568,0.007110170062937187,300.0,5,young
True,0.019810122521430346,0.003079783404871268,540.0,6,young
True,0.007019606923150287,0.00047458888373317915,240.0,4,young
True,0.02022966270521034,0.005668517100383862,240.0,4,young
True,0.02289390690485788,0.011408871705424966,240.0,4,young
True,0.0030044852561637624,0.0027521192996242676,240.0,4,young
True,1.4648090361225528,0.31357328701468157,240.0,4,young
True,4.068786570302079e-05,3.987895208573253e-05,300.0,5,young
True,0.13166971167753647,0.01265187337726164,300.0,5,young
True,0.0004640913607154317,0.001857217098907543,240.0,4,young
True,0.23742532772396055,0.07961545589905306,240.0,4,young
True,0.014909456556791871,0.0006749471299723014,240.0,4,young
True,0.000672224009042043,0.000760915407808818,240.0,4,young
True,0.719622568808229,0.04734543336884537,240.0,4,young
True,0.0192113224636007,0.018600849280556567,240.0,4,young
True,0.002569604371454998,0.00019626762849204017,240.0,4,young
True,1.057980742451385,0.06309995402812017,360.0,6,young
True,0.0005049871086536585,0.00016192928969473516,300.0,5,young
True,3.328696819139354e-05,9.240309945063048e-06,240.0,4,young
True,0.00010265915480430802,0.00044665812104962156,240.0,4,young
True,0.011660902391664096,0.017092665612482624,240.0,4,young
True,0.08505291054484337,0.005295155640858959,300.0,5,young
True,0.001954885589124904,0.0015343158840131388,300.0,5,young
True,0.0005829446810215491,0.001123570590651402,240.0,4,young
True,5.921429300244274e-05,0.00017993056086570253,240.0,4,young
True,1.2715727888430104,0.100314125617826,300.0,5,young
True,0.013531561262397372,0.00811443022309633,300.0,5,young
True,0.013208109762542818,0.0171673906827651,240.0,4,young
True,0.43509966802738637,0.014334908290991532,300.0,5,young
False,0.23764436142484316,1.8675296272760713,180.0,3,young
True,98.838505354052,5.822229243156332,240.0,4,young
True,4.068779608798963,0.13118264157038384,300.0,5,young
True,0.3141864579599051,0.030403773809655147,300.0,5,young
True,2.654829274621907e-05,0.00019721595372691712,240.0,4,young
True,0.13958118761226643,0.028162751452433795,300.0,5,young
True,0.006211887818410188,0.002022367571118256,240.0,4,young
True,0.179474397811643,0.09703897512762635,240.0,4,young
True,0.012292870843048124,0.001962563798983753,300.0,5,young
True,0.0012853132968888895,0.0023482086341301,240.0,4,young
True,0.0008113928744022197,0.0005239905434840107,240.0,4,young
False,6.6836184673997785,1.4510083967994587,240.0,4,young
True,2.9101737214978554e-06,3.855649124713331e-06,240.0,4,young
True,5.342459246792792e-05,4.2358837596075516e-05,240.0,4,young
True,1.7137690618950605,0.1368715077146807,300.0,5,young
True,0.00047067165622231047,0.0005436615815980921,240.0,4,young
True,5.203920799773213e-06,1.648951659056915e-05,240.0,4,young
True,0.15272755675888094,0.014499667653785372,240.0,4,young
True,0.0021218880918919677,0.002143000609040089,240.0,4,young
True,2.4920202409318524,0.2951334129923047,240.0,4,young
True,0.27134339460535056,0.010115371713526077,240.0,4,young
True,0.3575420958104953,0.08394196826213791,240.0,4,young
True,2.3546133227930774e-05,1.8773851545897985e-05,300.0,5,young
True,0.00504794424754545,0.0006368225245548422,240.0,4,young
True,0.03380596026467045,0.013453509581108586,240.0,4,young
True,1.6734174435359206,0.10812366524465661,240.0,4,young
True,0.0042703035617123655,0.0004883616542402208,300.0,5,young
True,0.0004293884985433193,0.0001401443914535004,240.0,4,young
True,0.0005621501198093048,0.0005854422387872952,240.0,4,young
True,3.985798025395452e-05,0.0003157904545560004,240.0,4,young
True,0.00025709715125017744,0.00015511004679259445,300.0,5,young
True,0.0010739210327628613,0.00045773733682484644,810.0,6,young
False,27.687054907918522,44.59621659577135,180.0,3,young
True,0.012613338089368327,0.007447173518110888,240.0,4,young
True,0.0035860911892537065,0.0011392496238554213,300.0,5,young
True,763.0790892523107,7.524286429574256,420.0,7,young
True,0.09122028058343185,0.04335775870355769,240.0,4,young
True,0.004255812398613392,0.0010472601026488843,300.0,5,young
True,8.908176807313488e-05,0.00014071132269524023,240.0,4,young
